field_name,table_name,data_type,description,unit,allowed_values_or_range,generation_logic_summary
num_children,occupants,string,"occupants — num_children",,"10 rows","PREDICT native PHP generator (Ireland priors)"
primary_age_band,occupants,string,"occupants — primary_age_band",,"10 rows","PREDICT native PHP generator (Ireland priors)"
employment_pattern,occupants,string,"occupants — employment_pattern",,"10 rows","PREDICT native PHP generator (Ireland priors)"
work_from_home_days_per_week,occupants,string,"occupants — work_from_home_days_per_week",,"10 rows","PREDICT native PHP generator (Ireland priors)"
income_band,occupants,string,"occupants — income_band",,"10 rows","PREDICT native PHP generator (Ireland priors)"
affluence_score,occupants,string,"occupants — affluence_score",,"10 rows","PREDICT native PHP generator (Ireland priors)"
fuel_poverty_risk,occupants,string,"occupants — fuel_poverty_risk",,"10 rows","PREDICT native PHP generator (Ireland priors)"
energy_awareness_score,occupants,string,"occupants — energy_awareness_score",,"10 rows","PREDICT native PHP generator (Ireland priors)"
comfort_preference_score,occupants,string,"occupants — comfort_preference_score",,"10 rows","PREDICT native PHP generator (Ireland priors)"
tech_adoption_score,occupants,string,"occupants — tech_adoption_score",,"10 rows","PREDICT native PHP generator (Ireland priors)"
daytime_occupancy_level,occupants,string,"occupants — daytime_occupancy_level",,"10 rows","PREDICT native PHP generator (Ireland priors)"
heating_cost_sensitivity,occupants,string,"occupants — heating_cost_sensitivity",,"10 rows","PREDICT native PHP generator (Ireland priors)"
window_opening_tendency,occupants,string,"occupants — window_opening_tendency",,"10 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_usage_intensity,occupants,string,"occupants — hot_water_usage_intensity",,"10 rows","PREDICT native PHP generator (Ireland priors)"
appliance_usage_intensity,occupants,string,"occupants — appliance_usage_intensity",,"10 rows","PREDICT native PHP generator (Ireland priors)"
building_id,systems,string,"systems — building_id",,"10 rows","PREDICT native PHP generator (Ireland priors)"
main_heating_system,systems,string,"systems — main_heating_system",,"10 rows","PREDICT native PHP generator (Ireland priors)"
main_heating_fuel,systems,string,"systems — main_heating_fuel",,"10 rows","PREDICT native PHP generator (Ireland priors)"
main_heating_efficiency,systems,string,"systems — main_heating_efficiency",,"10 rows","PREDICT native PHP generator (Ireland priors)"
heat_pump_type,systems,string,"systems — heat_pump_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
heat_pump_cop_nominal,systems,string,"systems — heat_pump_cop_nominal",,"10 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_system_type,systems,string,"systems — hot_water_system_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_efficiency,systems,string,"systems — hot_water_efficiency",,"10 rows","PREDICT native PHP generator (Ireland priors)"
distribution_system_type,systems,string,"systems — distribution_system_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
emitters_type,systems,string,"systems — emitters_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
controls_quality,systems,string,"systems — controls_quality",,"10 rows","PREDICT native PHP generator (Ireland priors)"
has_secondary_heating,systems,string,"systems — has_secondary_heating",,"10 rows","PREDICT native PHP generator (Ireland priors)"
secondary_heating_type,systems,string,"systems — secondary_heating_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
secondary_heating_fuel,systems,string,"systems — secondary_heating_fuel",,"10 rows","PREDICT native PHP generator (Ireland priors)"
ventilation_type,systems,string,"systems — ventilation_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
mvhr_present,systems,string,"systems — mvhr_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
cooling_present,systems,string,"systems — cooling_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
cooling_type,systems,string,"systems — cooling_type",,"10 rows","PREDICT native PHP generator (Ireland priors)"
pv_present,systems,string,"systems — pv_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
pv_capacity_kw,systems,string,"systems — pv_capacity_kw",,"10 rows","PREDICT native PHP generator (Ireland priors)"
pv_orientation,systems,string,"systems — pv_orientation",,"10 rows","PREDICT native PHP generator (Ireland priors)"
pv_tilt,systems,string,"systems — pv_tilt",,"10 rows","PREDICT native PHP generator (Ireland priors)"
battery_present,systems,string,"systems — battery_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
battery_capacity_kwh,systems,string,"systems — battery_capacity_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
battery_roundtrip_efficiency,systems,string,"systems — battery_roundtrip_efficiency",,"10 rows","PREDICT native PHP generator (Ireland priors)"
smart_meter_present,systems,string,"systems — smart_meter_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
ev_present,systems,string,"systems — ev_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
ev_charger_present,systems,string,"systems — ev_charger_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
solar_thermal_present,systems,string,"systems — solar_thermal_present",,"10 rows","PREDICT native PHP generator (Ireland priors)"
solar_thermal_collector_area_m2,systems,string,"systems — solar_thermal_collector_area_m2",,"10 rows","PREDICT native PHP generator (Ireland priors)"
building_id,operations_timeseries,string,"operations_timeseries — building_id",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
timestamp,operations_timeseries,string,"operations_timeseries — timestamp",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
date,operations_timeseries,string,"operations_timeseries — date",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
hour,operations_timeseries,string,"operations_timeseries — hour",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
day_of_week,operations_timeseries,string,"operations_timeseries — day_of_week",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
is_weekend,operations_timeseries,string,"operations_timeseries — is_weekend",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
month,operations_timeseries,string,"operations_timeseries — month",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
season,operations_timeseries,string,"operations_timeseries — season",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
outdoor_temperature_c,operations_timeseries,string,"operations_timeseries — outdoor_temperature_c",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
solar_irradiance_w_m2,operations_timeseries,string,"operations_timeseries — solar_irradiance_w_m2",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
wind_speed_m_s,operations_timeseries,string,"operations_timeseries — wind_speed_m_s",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
relative_humidity_percent,operations_timeseries,string,"operations_timeseries — relative_humidity_percent",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
heating_degree_signal,operations_timeseries,string,"operations_timeseries — heating_degree_signal",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
occupied_flag,operations_timeseries,string,"operations_timeseries — occupied_flag",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
occupancy_count,operations_timeseries,string,"operations_timeseries — occupancy_count",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
activity_level,operations_timeseries,string,"operations_timeseries — activity_level",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
heating_on_flag,operations_timeseries,string,"operations_timeseries — heating_on_flag",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
heating_setpoint_c,operations_timeseries,string,"operations_timeseries — heating_setpoint_c",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_draw_l,operations_timeseries,string,"operations_timeseries — hot_water_draw_l",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
window_open_flag,operations_timeseries,string,"operations_timeseries — window_open_flag",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
appliance_load_kw,operations_timeseries,string,"operations_timeseries — appliance_load_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
lighting_load_kw,operations_timeseries,string,"operations_timeseries — lighting_load_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
space_heating_demand_kw,operations_timeseries,string,"operations_timeseries — space_heating_demand_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
space_heating_delivered_kw,operations_timeseries,string,"operations_timeseries — space_heating_delivered_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_demand_kw,operations_timeseries,string,"operations_timeseries — hot_water_demand_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_delivered_kw,operations_timeseries,string,"operations_timeseries — hot_water_delivered_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
ventilation_loss_kw,operations_timeseries,string,"operations_timeseries — ventilation_loss_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
fabric_loss_kw,operations_timeseries,string,"operations_timeseries — fabric_loss_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
internal_gains_kw,operations_timeseries,string,"operations_timeseries — internal_gains_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
solar_gains_kw,operations_timeseries,string,"operations_timeseries — solar_gains_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
indoor_temperature_c,operations_timeseries,string,"operations_timeseries — indoor_temperature_c",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
base_electric_load_kw,operations_timeseries,string,"operations_timeseries — base_electric_load_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
total_electricity_demand_kw,operations_timeseries,string,"operations_timeseries — total_electricity_demand_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
main_heating_electricity_kw,operations_timeseries,string,"operations_timeseries — main_heating_electricity_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
main_heating_fuel_use_kw,operations_timeseries,string,"operations_timeseries — main_heating_fuel_use_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
secondary_heating_use_kw,operations_timeseries,string,"operations_timeseries — secondary_heating_use_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
pv_generation_kw,operations_timeseries,string,"operations_timeseries — pv_generation_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
battery_charge_kw,operations_timeseries,string,"operations_timeseries — battery_charge_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
battery_discharge_kw,operations_timeseries,string,"operations_timeseries — battery_discharge_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
battery_soc_kwh,operations_timeseries,string,"operations_timeseries — battery_soc_kwh",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
grid_import_kw,operations_timeseries,string,"operations_timeseries — grid_import_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
grid_export_kw,operations_timeseries,string,"operations_timeseries — grid_export_kw",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
electricity_consumption_kwh,operations_timeseries,string,"operations_timeseries — electricity_consumption_kwh",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
heating_consumption_kwh,operations_timeseries,string,"operations_timeseries — heating_consumption_kwh",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
hot_water_consumption_kwh,operations_timeseries,string,"operations_timeseries — hot_water_consumption_kwh",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
total_energy_consumption_kwh,operations_timeseries,string,"operations_timeseries — total_energy_consumption_kwh",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
predicted_energy_kwh_standardised,operations_timeseries,string,"operations_timeseries — predicted_energy_kwh_standardised",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
actual_energy_kwh_operational,operations_timeseries,string,"operations_timeseries — actual_energy_kwh_operational",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
energy_performance_gap_kwh,operations_timeseries,string,"operations_timeseries — energy_performance_gap_kwh",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
energy_performance_gap_percent,operations_timeseries,string,"operations_timeseries — energy_performance_gap_percent",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
operational_emissions_kgco2,operations_timeseries,string,"operations_timeseries — operational_emissions_kgco2",,"87600 rows","PREDICT native PHP generator (Ireland priors)"
building_id,derived_metrics,string,"derived_metrics — building_id",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_electricity_kwh,derived_metrics,string,"derived_metrics — annual_electricity_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_heating_kwh,derived_metrics,string,"derived_metrics — annual_heating_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_hot_water_kwh,derived_metrics,string,"derived_metrics — annual_hot_water_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_total_energy_kwh,derived_metrics,string,"derived_metrics — annual_total_energy_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_grid_import_kwh,derived_metrics,string,"derived_metrics — annual_grid_import_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_grid_export_kwh,derived_metrics,string,"derived_metrics — annual_grid_export_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_pv_generation_kwh,derived_metrics,string,"derived_metrics — annual_pv_generation_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_battery_charge_kwh,derived_metrics,string,"derived_metrics — annual_battery_charge_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_battery_discharge_kwh,derived_metrics,string,"derived_metrics — annual_battery_discharge_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_predicted_energy_kwh,derived_metrics,string,"derived_metrics — annual_predicted_energy_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_actual_energy_kwh,derived_metrics,string,"derived_metrics — annual_actual_energy_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_epg_kwh,derived_metrics,string,"derived_metrics — annual_epg_kwh",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_epg_percent,derived_metrics,string,"derived_metrics — annual_epg_percent",,"10 rows","PREDICT native PHP generator (Ireland priors)"
annual_operational_emissions_kgco2,derived_metrics,string,"derived_metrics — annual_operational_emissions_kgco2",,"10 rows","PREDICT native PHP generator (Ireland priors)"
peak_import_kw,derived_metrics,string,"derived_metrics — peak_import_kw",,"10 rows","PREDICT native PHP generator (Ireland priors)"
peak_export_kw,derived_metrics,string,"derived_metrics — peak_export_kw",,"10 rows","PREDICT native PHP generator (Ireland priors)"
mean_indoor_temperature_c,derived_metrics,string,"derived_metrics — mean_indoor_temperature_c",,"10 rows","PREDICT native PHP generator (Ireland priors)"
hours_below_18c,derived_metrics,string,"derived_metrics — hours_below_18c",,"10 rows","PREDICT native PHP generator (Ireland priors)"
hours_above_24c,derived_metrics,string,"derived_metrics — hours_above_24c",,"10 rows","PREDICT native PHP generator (Ireland priors)"
meta_run_id,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — meta_run_id",,"run_config.json / generation_summary.json","Role=metadata; Joined/engineered field."
meta_dataset_title,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — meta_dataset_title",,"run_config.json / generation_summary.json","Role=metadata; Joined/engineered field."
meta_random_seed,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — meta_random_seed",,"run_config.json / generation_summary.json","Role=metadata; Joined/engineered field."
meta_reference_weather_file,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — meta_reference_weather_file",,"run_config.json / generation_summary.json","Role=metadata; Joined/engineered field."
meta_generator_engine,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — meta_generator_engine",,"run_config.json / generation_summary.json","Role=metadata; Joined/engineered field."
bldg_floor_area_m2,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_floor_area_m2",m2,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_construction_year,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_construction_year",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_dwelling_form,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_dwelling_form",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_num_floors,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_num_floors",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_wall_u_value,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_wall_u_value",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_roof_u_value,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_roof_u_value",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_window_u_value,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_window_u_value",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_airtightness_ach,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_airtightness_ach",,buildings.csv,"Role=modelling; Joined/engineered field."
bldg_epc_rating_band,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — bldg_epc_rating_band",,buildings.csv,"Role=modelling; Joined/engineered field."
sys_main_heating_type,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_main_heating_type",,systems.csv,"Role=modelling; Joined/engineered field."
sys_main_heating_efficiency,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_main_heating_efficiency",,systems.csv,"Role=modelling; Joined/engineered field."
sys_heat_pump_present,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_heat_pump_present",,systems.csv,"Role=modelling; Joined/engineered field."
sys_pv_present,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_pv_present",,systems.csv,"Role=modelling; Joined/engineered field."
sys_pv_capacity_kw,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_pv_capacity_kw",kW,systems.csv,"Role=modelling; Joined/engineered field."
sys_battery_present,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_battery_present",,systems.csv,"Role=modelling; Joined/engineered field."
sys_ev_present,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_ev_present",,systems.csv,"Role=modelling; Joined/engineered field."
sys_secondary_heating_present,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — sys_secondary_heating_present",,systems.csv,"Role=modelling; Joined/engineered field."
occ_num_occupants,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_num_occupants",,occupants.csv,"Role=modelling; Joined/engineered field."
occ_num_children,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_num_children",,occupants.csv,"Role=modelling; Joined/engineered field."
occ_work_from_home_days_per_week,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_work_from_home_days_per_week",,occupants.csv,"Role=modelling; Joined/engineered field."
occ_daytime_occupancy_level,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_daytime_occupancy_level",,occupants.csv,"Role=modelling; Joined/engineered field."
occ_hot_water_usage_intensity,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_hot_water_usage_intensity",,occupants.csv,"Role=modelling; Joined/engineered field."
occ_appliance_usage_intensity,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_appliance_usage_intensity",,occupants.csv,"Role=modelling; Joined/engineered field."
occ_comfort_preference_score,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — occ_comfort_preference_score",,occupants.csv,"Role=modelling; Joined/engineered field."
ann_total_energy_kwh_per_m2,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ann_total_energy_kwh_per_m2",kWh,derived_metrics.csv,"Role=modelling; Joined/engineered field."
ann_heating_kwh_per_m2,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ann_heating_kwh_per_m2",kWh,derived_metrics.csv,"Role=modelling; Joined/engineered field."
ann_hot_water_kwh_per_occupant,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ann_hot_water_kwh_per_occupant",kWh,derived_metrics.csv,"Role=modelling; Joined/engineered field."
ann_operational_emissions_kgco2_per_m2,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ann_operational_emissions_kgco2_per_m2",m2,derived_metrics.csv,"Role=modelling; Joined/engineered field."
ann_energy_performance_gap_percent,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ann_energy_performance_gap_percent",,derived_metrics.csv,"Role=modelling; Joined/engineered field."
ann_peak_import_kw,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ann_peak_import_kw",kW,derived_metrics.csv,"Role=modelling; Joined/engineered field."
ts_load_factor,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_load_factor",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_base_load_kw_mean,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_base_load_kw_mean",kW,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_evening_peak_kw_mean,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_evening_peak_kw_mean",kW,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_weekend_weekday_load_ratio,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_weekend_weekday_load_ratio",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_winter_summer_load_ratio,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_winter_summer_load_ratio",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_heating_hours_per_year,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_heating_hours_per_year",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_mean_heating_setpoint_c,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_mean_heating_setpoint_c",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_grid_export_frequency,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_grid_export_frequency",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
ts_actual_to_predicted_energy_ratio,building_archetype_modelling_dataset_5,string,"PREDICT v5 consolidated dataset — ts_actual_to_predicted_energy_ratio",,"operations_timeseries.csv (aggregated)","Role=modelling; Engineered ts_* feature from hourly operations."
