timestamp,date,day_of_year,hour_of_day,month,season,outdoor_temperature_c,solar_irradiance_w_m2,wind_speed_m_s,relative_humidity_percent,cloud_factor,heating_degree_signal,pv_generation_factor
"2024-01-02 04:00:00",2024-01-02,2,4,1,winter,0.823,0,4.091,89.33,0.4572,17.177,0
"2024-01-02 05:00:00",2024-01-02,2,5,1,winter,1.457,0,3.157,92.98,0.5543,16.543,0
"2024-01-02 06:00:00",2024-01-02,2,6,1,winter,0.826,0,1.791,86.94,0.4015,17.174,0
"2024-01-02 07:00:00",2024-01-02,2,7,1,winter,0.724,0,2.004,85.75,0.6095,17.276,0
"2024-01-02 08:00:00",2024-01-02,2,8,1,winter,0.048,0,2.371,90.67,0.4389,17.952,0
"2024-01-02 09:00:00",2024-01-02,2,9,1,winter,0.363,0,2.262,83.77,0.3568,17.637,0
"2024-01-02 10:00:00",2024-01-02,2,10,1,winter,0.733,0,3.878,83.7,0.6417,17.267,0
"2024-01-02 11:00:00",2024-01-02,2,11,1,winter,0.539,0,5.451,99,0.6188,17.461,0
"2024-01-02 12:00:00",2024-01-02,2,12,1,winter,0.775,0,2.479,86.99,0.4746,17.225,0
"2024-01-02 13:00:00",2024-01-02,2,13,1,winter,1.208,0,2.698,83.42,0.5522,16.792,0
"2024-01-02 14:00:00",2024-01-02,2,14,1,winter,2.257,0,3.548,88.83,0.5807,15.743,0
"2024-01-02 15:00:00",2024-01-02,2,15,1,winter,3.247,0,3.443,90.51,0.3265,14.753,0
"2024-01-02 16:00:00",2024-01-02,2,16,1,winter,5.344,0,2.982,94.34,0.5647,12.656,0
"2024-01-02 17:00:00",2024-01-02,2,17,1,winter,5.747,0,4.514,86.68,0.5636,12.253,0
"2024-01-02 18:00:00",2024-01-02,2,18,1,winter,5.603,0,4.068,71.78,0.314,12.397,0
"2024-01-02 19:00:00",2024-01-02,2,19,1,winter,5.828,0,3.948,78.6,0.3936,12.172,0
"2024-01-02 20:00:00",2024-01-02,2,20,1,winter,5.767,0,2.778,82.72,0.7745,12.233,0
"2024-01-02 21:00:00",2024-01-02,2,21,1,winter,6.442,0,4.037,74.19,0.5168,11.558,0
"2024-01-02 22:00:00",2024-01-02,2,22,1,winter,4.243,0,3.717,89.52,0.3326,13.757,0
"2024-01-02 23:00:00",2024-01-02,2,23,1,winter,4.187,0,4.454,85.82,0.572,13.813,0
"2024-01-03 00:00:00",2024-01-03,3,0,1,winter,5.963,0,0.5,91.59,0.7929,12.037,0
"2024-01-03 01:00:00",2024-01-03,3,1,1,winter,2.387,0,2.846,99,0.3819,15.613,0
"2024-01-03 02:00:00",2024-01-03,3,2,1,winter,2.248,0,3.451,99,0.6391,15.752,0
"2024-01-03 03:00:00",2024-01-03,3,3,1,winter,3.209,0,4.766,86.67,0.7599,14.791,0
"2024-01-03 04:00:00",2024-01-03,3,4,1,winter,0.369,0,2.808,94.78,0.5304,17.631,0
"2024-01-03 05:00:00",2024-01-03,3,5,1,winter,0.659,0,2.956,99,0.7038,17.341,0
"2024-01-03 06:00:00",2024-01-03,3,6,1,winter,-0.195,0,0.5,81.97,0.3445,18.195,0
"2024-01-03 07:00:00",2024-01-03,3,7,1,winter,1.732,0,2.226,92.25,0.6965,16.268,0
"2024-01-03 08:00:00",2024-01-03,3,8,1,winter,-0.545,0,5.201,91.62,0.5236,18.545,0
"2024-01-03 09:00:00",2024-01-03,3,9,1,winter,-0.154,0,4.434,99,0.4592,18.154,0
"2024-01-03 10:00:00",2024-01-03,3,10,1,winter,-0.792,0,3.062,99,0.3705,18.792,0
"2024-01-03 11:00:00",2024-01-03,3,11,1,winter,0.912,0,2.836,88.11,0.4097,17.088,0
"2024-01-03 12:00:00",2024-01-03,3,12,1,winter,3.263,0,3.629,79.49,0.5725,14.737,0
"2024-01-03 13:00:00",2024-01-03,3,13,1,winter,1.902,0,3.758,86.76,0.8051,16.098,0
"2024-01-03 14:00:00",2024-01-03,3,14,1,winter,4.095,0,3.215,86.2,0.7559,13.905,0
"2024-01-03 15:00:00",2024-01-03,3,15,1,winter,3.704,0,1.877,76.95,0.4277,14.296,0
"2024-01-03 16:00:00",2024-01-03,3,16,1,winter,5.145,0,1.971,73.55,0.7157,12.855,0
"2024-01-03 17:00:00",2024-01-03,3,17,1,winter,3.039,0,2.971,80.99,0.5227,14.961,0
"2024-01-03 18:00:00",2024-01-03,3,18,1,winter,5.743,0,2.268,89.89,0.5248,12.257,0
"2024-01-03 19:00:00",2024-01-03,3,19,1,winter,5.419,0,2.929,78.03,0.8157,12.581,0
"2024-01-03 20:00:00",2024-01-03,3,20,1,winter,5.323,0,4.113,85.2,0.539,12.677,0
"2024-01-03 21:00:00",2024-01-03,3,21,1,winter,4.639,0,4.19,89,0.2929,13.361,0
"2024-01-03 22:00:00",2024-01-03,3,22,1,winter,4.661,0,5.274,66.28,0.7302,13.339,0
"2024-01-03 23:00:00",2024-01-03,3,23,1,winter,5.427,0,1.409,84.48,0.5045,12.573,0
"2024-01-04 00:00:00",2024-01-04,4,0,1,winter,2.958,0,3.512,87.74,0.597,15.042,0
"2024-01-04 01:00:00",2024-01-04,4,1,1,winter,3.043,0,2.047,87.85,0.7055,14.957,0
"2024-01-04 02:00:00",2024-01-04,4,2,1,winter,2.886,0,4.072,85.99,0.4291,15.114,0
"2024-01-04 03:00:00",2024-01-04,4,3,1,winter,3.903,0,3.126,74.61,0.7117,14.097,0
"2024-01-04 04:00:00",2024-01-04,4,4,1,winter,-0.279,0,4.108,84.95,0.2116,18.279,0
"2024-01-04 05:00:00",2024-01-04,4,5,1,winter,2.464,0,1.569,94.97,0.2797,15.536,0
"2024-01-04 06:00:00",2024-01-04,4,6,1,winter,0.005,0,3.451,91.01,0.2173,17.995,0
"2024-01-04 07:00:00",2024-01-04,4,7,1,winter,1.209,0,3.766,86.69,0.6858,16.791,0
"2024-01-04 08:00:00",2024-01-04,4,8,1,winter,0.084,0,2.44,87.87,0.3051,17.916,0
"2024-01-04 09:00:00",2024-01-04,4,9,1,winter,-0.937,0,1.944,95.75,0.4911,18.937,0
"2024-01-04 10:00:00",2024-01-04,4,10,1,winter,1.027,0,3.62,87.57,0.3535,16.973,0
"2024-01-04 11:00:00",2024-01-04,4,11,1,winter,0.784,0,2.661,76.28,0.6584,17.216,0
"2024-01-04 12:00:00",2024-01-04,4,12,1,winter,1.855,0,4.318,78.37,0.6455,16.145,0
"2024-01-04 13:00:00",2024-01-04,4,13,1,winter,1.565,0,0.973,84.12,0.3893,16.435,0
"2024-01-04 14:00:00",2024-01-04,4,14,1,winter,-0.472,0,4.902,89.48,0.5672,18.472,0
"2024-01-04 15:00:00",2024-01-04,4,15,1,winter,4.345,0,2.477,92.93,0.6379,13.655,0
"2024-01-04 16:00:00",2024-01-04,4,16,1,winter,4.075,0,4.563,97.35,0.3297,13.925,0
"2024-01-04 17:00:00",2024-01-04,4,17,1,winter,5.227,0,4.981,81.82,0.6417,12.773,0
"2024-01-04 18:00:00",2024-01-04,4,18,1,winter,5.463,0,2.773,74.03,0.7271,12.537,0
"2024-01-04 19:00:00",2024-01-04,4,19,1,winter,7.074,0,2.94,89.06,0.4069,10.926,0
"2024-01-04 20:00:00",2024-01-04,4,20,1,winter,4.913,0,2.87,89.4,0.2409,13.087,0
"2024-01-04 21:00:00",2024-01-04,4,21,1,winter,3.971,0,4.219,81.37,0.4537,14.029,0
"2024-01-04 22:00:00",2024-01-04,4,22,1,winter,3.415,0,3.766,89.73,0.2499,14.585,0
"2024-01-04 23:00:00",2024-01-04,4,23,1,winter,4.514,0,5.265,62.62,0.6361,13.486,0
"2024-01-05 00:00:00",2024-01-05,5,0,1,winter,3.139,0,3.853,96.77,0.2247,14.861,0
"2024-01-05 01:00:00",2024-01-05,5,1,1,winter,3.929,0,3.64,82.31,0.4901,14.071,0
"2024-01-05 02:00:00",2024-01-05,5,2,1,winter,2.884,0,3.077,82.86,0.5249,15.116,0
"2024-01-05 03:00:00",2024-01-05,5,3,1,winter,1.171,0,3.059,90.26,0.4503,16.829,0
"2024-01-05 04:00:00",2024-01-05,5,4,1,winter,2.638,0,2.766,99,0.6401,15.362,0
"2024-01-05 05:00:00",2024-01-05,5,5,1,winter,0.251,0,4.832,79.99,0.2125,17.749,0
"2024-01-05 06:00:00",2024-01-05,5,6,1,winter,0.621,0,2.668,79.95,0.5957,17.379,0
"2024-01-05 07:00:00",2024-01-05,5,7,1,winter,-0.526,0,0.547,81.46,0.5161,18.526,0
"2024-01-05 08:00:00",2024-01-05,5,8,1,winter,-0.696,0,3.285,99,0.2331,18.696,0
"2024-01-05 09:00:00",2024-01-05,5,9,1,winter,0.626,0,2.431,98.41,0.2487,17.374,0
"2024-01-05 10:00:00",2024-01-05,5,10,1,winter,-0.508,0,5.413,83.13,0.4046,18.508,0
"2024-01-05 11:00:00",2024-01-05,5,11,1,winter,1.011,0,4.75,72.03,0.5514,16.989,0
"2024-01-05 12:00:00",2024-01-05,5,12,1,winter,2.851,0,3.724,94.12,0.3927,15.149,0
"2024-01-05 13:00:00",2024-01-05,5,13,1,winter,1.229,0,4.471,89.99,0.7201,16.771,0
"2024-01-05 14:00:00",2024-01-05,5,14,1,winter,4.993,0,3.229,83.8,0.6402,13.007,0
"2024-01-05 15:00:00",2024-01-05,5,15,1,winter,4.642,0,2.451,75.18,0.4449,13.358,0
"2024-01-05 16:00:00",2024-01-05,5,16,1,winter,6.159,0,4.592,83.13,0.4652,11.841,0
"2024-01-05 17:00:00",2024-01-05,5,17,1,winter,3.856,0,4.719,89.99,0.63,14.144,0
"2024-01-05 18:00:00",2024-01-05,5,18,1,winter,5.62,0,3.323,90.37,0.6882,12.38,0
"2024-01-05 19:00:00",2024-01-05,5,19,1,winter,6.806,0,3.52,70.74,0.323,11.194,0
"2024-01-05 20:00:00",2024-01-05,5,20,1,winter,4.151,0,1.211,87.42,0.4833,13.849,0
"2024-01-05 21:00:00",2024-01-05,5,21,1,winter,5.314,0,4.299,90.64,0.2947,12.686,0
"2024-01-05 22:00:00",2024-01-05,5,22,1,winter,3.938,0,4.963,76.67,0.3041,14.062,0
"2024-01-05 23:00:00",2024-01-05,5,23,1,winter,4.431,0,3.836,88.1,0.3607,13.569,0
"2024-01-06 00:00:00",2024-01-06,6,0,1,winter,2.401,0,4.209,84.47,0.5881,15.599,0
"2024-01-06 01:00:00",2024-01-06,6,1,1,winter,3.104,0,4.346,73.17,0.3395,14.896,0
"2024-01-06 02:00:00",2024-01-06,6,2,1,winter,2.005,0,1.824,89.89,0.734,15.995,0
"2024-01-06 03:00:00",2024-01-06,6,3,1,winter,3.398,0,3.164,89,0.4289,14.602,0
"2024-01-06 04:00:00",2024-01-06,6,4,1,winter,2.3,0,3.477,83.64,0.7505,15.7,0
"2024-01-06 05:00:00",2024-01-06,6,5,1,winter,1.664,0,2.302,96.93,0.274,16.336,0
"2024-01-06 06:00:00",2024-01-06,6,6,1,winter,1.278,0,3.748,85.96,0.283,16.722,0
"2024-01-06 07:00:00",2024-01-06,6,7,1,winter,0.716,0,4.424,82.99,0.2277,17.284,0
"2024-01-06 08:00:00",2024-01-06,6,8,1,winter,2.137,0,3.017,99,0.3924,15.863,0
"2024-01-06 09:00:00",2024-01-06,6,9,1,winter,1.909,0,2.973,92.87,0.2857,16.091,0
"2024-01-06 10:00:00",2024-01-06,6,10,1,winter,-0.266,0,2.065,93.81,0.3189,18.266,0
"2024-01-06 11:00:00",2024-01-06,6,11,1,winter,2.078,0,3.535,85.06,0.3971,15.922,0
"2024-01-06 12:00:00",2024-01-06,6,12,1,winter,1.429,0,3.494,75.93,0.5612,16.571,0
"2024-01-06 13:00:00",2024-01-06,6,13,1,winter,3.742,0,2.071,88.66,0.4185,14.258,0
"2024-01-06 14:00:00",2024-01-06,6,14,1,winter,2.756,0,2.629,99,0.2215,15.244,0
"2024-01-06 15:00:00",2024-01-06,6,15,1,winter,4.405,0,2.062,87.4,0.5501,13.595,0
"2024-01-06 16:00:00",2024-01-06,6,16,1,winter,3.804,0,3.09,89.9,0.5269,14.196,0
"2024-01-06 17:00:00",2024-01-06,6,17,1,winter,5.254,0,3.692,77.48,0.5185,12.746,0
"2024-01-06 18:00:00",2024-01-06,6,18,1,winter,5.675,0,4.455,86.82,0.4045,12.325,0
"2024-01-06 19:00:00",2024-01-06,6,19,1,winter,4.993,0,1.816,77.86,0.5543,13.007,0
"2024-01-06 20:00:00",2024-01-06,6,20,1,winter,5.799,0,3.281,80.52,0.5826,12.201,0
"2024-01-06 21:00:00",2024-01-06,6,21,1,winter,5.157,0,5.224,85.03,0.6965,12.843,0
"2024-01-06 22:00:00",2024-01-06,6,22,1,winter,4.594,0,4.253,77.58,0.2537,13.406,0
"2024-01-06 23:00:00",2024-01-06,6,23,1,winter,4.058,0,4.773,70.98,0.5104,13.942,0
"2024-01-07 00:00:00",2024-01-07,7,0,1,winter,3.931,0,2.702,92.36,0.2902,14.069,0
"2024-01-07 01:00:00",2024-01-07,7,1,1,winter,1.475,0,3.289,98.11,0.2806,16.525,0
"2024-01-07 02:00:00",2024-01-07,7,2,1,winter,3.636,0,3.481,87.63,0.3551,14.364,0
"2024-01-07 03:00:00",2024-01-07,7,3,1,winter,1.885,0,3.03,81.6,0.3991,16.115,0
"2024-01-07 04:00:00",2024-01-07,7,4,1,winter,1.389,0,1.306,73.21,0.6152,16.611,0
"2024-01-07 05:00:00",2024-01-07,7,5,1,winter,-0.18,0,3.348,89.2,0.467,18.18,0
"2024-01-07 06:00:00",2024-01-07,7,6,1,winter,-0.354,0,3.996,79.14,0.3099,18.354,0
"2024-01-07 07:00:00",2024-01-07,7,7,1,winter,0.595,0,2.177,87.45,0.3053,17.405,0
"2024-01-07 08:00:00",2024-01-07,7,8,1,winter,1.441,0,4.547,76.23,0.2906,16.559,0
"2024-01-07 09:00:00",2024-01-07,7,9,1,winter,-0.374,0,2.215,81.63,0.7056,18.374,0
"2024-01-07 10:00:00",2024-01-07,7,10,1,winter,0.689,0,2.787,75.55,0.4304,17.311,0
"2024-01-07 11:00:00",2024-01-07,7,11,1,winter,1.566,0,1.627,77.62,0.6651,16.434,0
"2024-01-07 12:00:00",2024-01-07,7,12,1,winter,1.644,0,3.616,71.56,0.6455,16.356,0
"2024-01-07 13:00:00",2024-01-07,7,13,1,winter,1.148,0,3.313,84.22,0.7237,16.852,0
"2024-01-07 14:00:00",2024-01-07,7,14,1,winter,0.996,0,3.507,95.21,0.2903,17.004,0
"2024-01-07 15:00:00",2024-01-07,7,15,1,winter,0.924,0,5.484,98.35,0.2263,17.076,0
"2024-01-07 16:00:00",2024-01-07,7,16,1,winter,4.594,0,6.189,82.04,0.3931,13.406,0
"2024-01-07 17:00:00",2024-01-07,7,17,1,winter,3.301,0,1.24,81.35,0.34,14.699,0
"2024-01-07 18:00:00",2024-01-07,7,18,1,winter,3.994,0,6.058,99,0.4682,14.006,0
"2024-01-07 19:00:00",2024-01-07,7,19,1,winter,6.799,0,2.706,76.78,0.7099,11.201,0
"2024-01-07 20:00:00",2024-01-07,7,20,1,winter,6.131,0,5.716,90.2,0.2971,11.869,0
"2024-01-07 21:00:00",2024-01-07,7,21,1,winter,4.811,0,3.683,88.59,0.3022,13.189,0
"2024-01-07 22:00:00",2024-01-07,7,22,1,winter,6.735,0,4.956,79.65,0.3171,11.265,0
"2024-01-07 23:00:00",2024-01-07,7,23,1,winter,4.459,0,2.252,92.26,0.3043,13.541,0
"2024-01-08 00:00:00",2024-01-08,8,0,1,winter,4.048,0,4.119,82.67,0.4761,13.952,0
"2024-01-08 01:00:00",2024-01-08,8,1,1,winter,2.335,0,0.5,86.89,0.642,15.665,0
"2024-01-08 02:00:00",2024-01-08,8,2,1,winter,1.885,0,3.89,93.19,0.3277,16.115,0
"2024-01-08 03:00:00",2024-01-08,8,3,1,winter,1.361,0,3.189,84.57,0.6392,16.639,0
"2024-01-08 04:00:00",2024-01-08,8,4,1,winter,2.187,0,2.252,67.54,0.3138,15.813,0
"2024-01-08 05:00:00",2024-01-08,8,5,1,winter,-1.272,0,1.146,98.5,0.2277,19.272,0
"2024-01-08 06:00:00",2024-01-08,8,6,1,winter,0.708,0,3.106,83.3,0.7035,17.292,0
"2024-01-08 07:00:00",2024-01-08,8,7,1,winter,1.876,0,4.391,77.43,0.319,16.124,0
"2024-01-08 08:00:00",2024-01-08,8,8,1,winter,-0.399,0,1.649,99,0.3256,18.399,0
"2024-01-08 09:00:00",2024-01-08,8,9,1,winter,-0.687,0,2.235,99,0.7607,18.687,0
"2024-01-08 10:00:00",2024-01-08,8,10,1,winter,-0.117,0,4.928,83.06,0.4665,18.117,0
"2024-01-08 11:00:00",2024-01-08,8,11,1,winter,0.354,0,4.888,84.88,0.4574,17.646,0
"2024-01-08 12:00:00",2024-01-08,8,12,1,winter,2.192,0,3.583,71.54,0.3577,15.808,0
"2024-01-08 13:00:00",2024-01-08,8,13,1,winter,1.525,0,2.747,79.46,0.2908,16.475,0
"2024-01-08 14:00:00",2024-01-08,8,14,1,winter,2.023,0,3.891,79.57,0.3846,15.977,0
"2024-01-08 15:00:00",2024-01-08,8,15,1,winter,4.332,0,4.024,73.04,0.701,13.668,0
"2024-01-08 16:00:00",2024-01-08,8,16,1,winter,7.141,0,5.379,59.98,0.2151,10.859,0
"2024-01-08 17:00:00",2024-01-08,8,17,1,winter,4.994,0,3.407,79.67,0.51,13.006,0
"2024-01-08 18:00:00",2024-01-08,8,18,1,winter,2.765,0,2.809,79.62,0.5766,15.235,0
"2024-01-08 19:00:00",2024-01-08,8,19,1,winter,4.775,0,2.992,74.3,0.6899,13.225,0
"2024-01-08 20:00:00",2024-01-08,8,20,1,winter,6.924,0,3.77,88.7,0.3463,11.076,0
"2024-01-08 21:00:00",2024-01-08,8,21,1,winter,6.775,0,3.783,63.15,0.4897,11.225,0
"2024-01-08 22:00:00",2024-01-08,8,22,1,winter,3.78,0,5.07,93.11,0.3368,14.22,0
"2024-01-08 23:00:00",2024-01-08,8,23,1,winter,1.422,0,3.133,85.6,0.7419,16.578,0
"2024-01-09 00:00:00",2024-01-09,9,0,1,winter,5.104,0,3.262,81.36,0.6786,12.896,0
"2024-01-09 01:00:00",2024-01-09,9,1,1,winter,6.863,0,3.373,71.69,0.58,11.137,0
"2024-01-09 02:00:00",2024-01-09,9,2,1,winter,2.113,0,2.813,96.03,0.4641,15.887,0
"2024-01-09 03:00:00",2024-01-09,9,3,1,winter,2.943,0,2.16,90.45,0.5247,15.057,0
"2024-01-09 04:00:00",2024-01-09,9,4,1,winter,1.378,0,1.787,89,0.2519,16.622,0
"2024-01-09 05:00:00",2024-01-09,9,5,1,winter,1.319,0,5.119,73.74,0.6641,16.681,0
"2024-01-09 06:00:00",2024-01-09,9,6,1,winter,2.624,0,5.324,70.19,0.5746,15.376,0
"2024-01-09 07:00:00",2024-01-09,9,7,1,winter,-0.107,0,4.598,81.64,0.5589,18.107,0
"2024-01-09 08:00:00",2024-01-09,9,8,1,winter,1.1,0,2.827,97.02,0.5056,16.9,0
"2024-01-09 09:00:00",2024-01-09,9,9,1,winter,2.283,0,2.414,75.06,0.7153,15.717,0
"2024-01-09 10:00:00",2024-01-09,9,10,1,winter,0.021,0,0.5,93.53,0.4794,17.979,0
"2024-01-09 11:00:00",2024-01-09,9,11,1,winter,1.496,0,3.308,80.36,0.6968,16.504,0
"2024-01-09 12:00:00",2024-01-09,9,12,1,winter,0.921,0,2.319,67.45,0.2424,17.079,0
"2024-01-09 13:00:00",2024-01-09,9,13,1,winter,3.33,0,2.95,85.73,0.5278,14.67,0
"2024-01-09 14:00:00",2024-01-09,9,14,1,winter,2.694,0,3.335,79.98,0.6884,15.306,0
"2024-01-09 15:00:00",2024-01-09,9,15,1,winter,4.754,0,3.544,92.11,0.6293,13.246,0
"2024-01-09 16:00:00",2024-01-09,9,16,1,winter,4.421,0,3.62,71,0.4921,13.579,0
"2024-01-09 17:00:00",2024-01-09,9,17,1,winter,5.376,0,3.584,77.3,0.499,12.624,0
"2024-01-09 18:00:00",2024-01-09,9,18,1,winter,3.614,0,3.056,96.56,0.3151,14.386,0
"2024-01-09 19:00:00",2024-01-09,9,19,1,winter,5.895,0,3.856,81.15,0.7409,12.105,0
"2024-01-09 20:00:00",2024-01-09,9,20,1,winter,4.954,0,5.107,84.56,0.3706,13.046,0
"2024-01-09 21:00:00",2024-01-09,9,21,1,winter,4.21,0,5.93,90.27,0.7464,13.79,0
"2024-01-09 22:00:00",2024-01-09,9,22,1,winter,5.432,0,4.021,81.37,0.6199,12.568,0
"2024-01-09 23:00:00",2024-01-09,9,23,1,winter,5.751,0,5.775,76.54,0.6182,12.249,0
"2024-01-10 00:00:00",2024-01-10,10,0,1,winter,5.687,0,2.304,70.29,0.2213,12.313,0
"2024-01-10 01:00:00",2024-01-10,10,1,1,winter,4.444,0,3.757,69.32,0.6127,13.556,0
"2024-01-10 02:00:00",2024-01-10,10,2,1,winter,1.515,0,3.022,80.23,0.3338,16.485,0
"2024-01-10 03:00:00",2024-01-10,10,3,1,winter,1.958,0,3.986,94.86,0.5934,16.042,0
"2024-01-10 04:00:00",2024-01-10,10,4,1,winter,0.313,0,5.635,96.14,0.6967,17.687,0
"2024-01-10 05:00:00",2024-01-10,10,5,1,winter,1.401,0,4.907,98.15,0.4718,16.599,0
"2024-01-10 06:00:00",2024-01-10,10,6,1,winter,2.01,0,2.898,87.83,0.3605,15.99,0
"2024-01-10 07:00:00",2024-01-10,10,7,1,winter,-2.435,0,4.673,99,0.3495,20.435,0
"2024-01-10 08:00:00",2024-01-10,10,8,1,winter,0.952,0,4.66,99,0.2671,17.048,0
"2024-01-10 09:00:00",2024-01-10,10,9,1,winter,-1.218,0,2.586,99,0.4808,19.218,0
"2024-01-10 10:00:00",2024-01-10,10,10,1,winter,1.18,0,3.071,88.38,0.4197,16.82,0
"2024-01-10 11:00:00",2024-01-10,10,11,1,winter,2.832,0,5.378,62.66,0.5394,15.168,0
"2024-01-10 12:00:00",2024-01-10,10,12,1,winter,1.009,0,4.156,91.57,0.2999,16.991,0
"2024-01-10 13:00:00",2024-01-10,10,13,1,winter,3.679,0,2.826,67.86,0.5574,14.321,0
"2024-01-10 14:00:00",2024-01-10,10,14,1,winter,1.784,0,3.612,89.58,0.5851,16.216,0
"2024-01-10 15:00:00",2024-01-10,10,15,1,winter,2.266,0,2.417,77.95,0.4938,15.734,0
"2024-01-10 16:00:00",2024-01-10,10,16,1,winter,3.745,0,4.276,76.53,0.3282,14.255,0
"2024-01-10 17:00:00",2024-01-10,10,17,1,winter,5.637,0,3.765,80.06,0.3336,12.363,0
"2024-01-10 18:00:00",2024-01-10,10,18,1,winter,4.688,0,2.418,92.1,0.2268,13.312,0
"2024-01-10 19:00:00",2024-01-10,10,19,1,winter,4.444,0,3.68,78.37,0.5192,13.556,0
"2024-01-10 20:00:00",2024-01-10,10,20,1,winter,5.965,0,3.568,77.59,0.4574,12.035,0
"2024-01-10 21:00:00",2024-01-10,10,21,1,winter,5.069,0,2.369,74.44,0.6935,12.931,0
"2024-01-10 22:00:00",2024-01-10,10,22,1,winter,5.381,0,4.19,89.52,0.4785,12.619,0
"2024-01-10 23:00:00",2024-01-10,10,23,1,winter,3.494,0,2.327,90.46,0.4725,14.506,0
"2024-01-11 00:00:00",2024-01-11,11,0,1,winter,4.725,0,4.419,97.75,0.5594,13.275,0
"2024-01-11 01:00:00",2024-01-11,11,1,1,winter,4.455,0,4.587,87.11,0.583,13.545,0
"2024-01-11 02:00:00",2024-01-11,11,2,1,winter,3.256,0,2.511,85.8,0.4505,14.744,0
"2024-01-11 03:00:00",2024-01-11,11,3,1,winter,1.295,0,2.603,77.25,0.6559,16.705,0
"2024-01-11 04:00:00",2024-01-11,11,4,1,winter,0.429,0,3.314,99,0.3378,17.571,0
"2024-01-11 05:00:00",2024-01-11,11,5,1,winter,1.821,0,2.326,81.67,0.2888,16.179,0
"2024-01-11 06:00:00",2024-01-11,11,6,1,winter,0.327,0,4.457,96.5,0.5449,17.673,0
"2024-01-11 07:00:00",2024-01-11,11,7,1,winter,1.798,0,3.283,87.85,0.5756,16.202,0
"2024-01-11 08:00:00",2024-01-11,11,8,1,winter,0.635,0,3.616,81.19,0.4935,17.365,0
"2024-01-11 09:00:00",2024-01-11,11,9,1,winter,1.397,0,2.639,76.86,0.5428,16.603,0
"2024-01-11 10:00:00",2024-01-11,11,10,1,winter,-0.893,0,2.064,92.85,0.5708,18.893,0
