utc_timestamp,cet_cest_timestamp,DE_KN_industrial1_grid_import,DE_KN_industrial1_pv_1,DE_KN_industrial1_pv_2,DE_KN_industrial2_grid_import,DE_KN_industrial2_pv,DE_KN_industrial2_storage_charge,DE_KN_industrial2_storage_decharge,DE_KN_industrial3_area_offices,DE_KN_industrial3_area_room_1,DE_KN_industrial3_area_room_2,DE_KN_industrial3_area_room_3,DE_KN_industrial3_area_room_4,DE_KN_industrial3_compressor,DE_KN_industrial3_cooling_aggregate,DE_KN_industrial3_cooling_pumps,DE_KN_industrial3_dishwasher,DE_KN_industrial3_ev,DE_KN_industrial3_grid_import,DE_KN_industrial3_machine_1,DE_KN_industrial3_machine_2,DE_KN_industrial3_machine_3,DE_KN_industrial3_machine_4,DE_KN_industrial3_machine_5,DE_KN_industrial3_pv_facade,DE_KN_industrial3_pv_roof,DE_KN_industrial3_refrigerator,DE_KN_industrial3_ventilation,DE_KN_public1_grid_import,DE_KN_public2_grid_import,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine,DE_KN_residential2_circulation_pump,DE_KN_residential2_dishwasher,DE_KN_residential2_freezer,DE_KN_residential2_grid_import,DE_KN_residential2_washing_machine,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine,DE_KN_residential6_circulation_pump,DE_KN_residential6_dishwasher,DE_KN_residential6_freezer,DE_KN_residential6_grid_export,DE_KN_residential6_grid_import,DE_KN_residential6_pv,DE_KN_residential6_washing_machine,interpolated
2014-12-14T01:00:00Z,2014-12-14T02:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.163,2.598,1.590,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T02:00:00Z,2014-12-14T03:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.235,2.995,1.631,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T03:00:00Z,2014-12-14T04:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.302,3.756,1.662,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T04:00:00Z,2014-12-14T05:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.373,3.761,1.675,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T05:00:00Z,2014-12-14T06:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.443,3.766,1.716,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T06:00:00Z,2014-12-14T07:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.512,3.771,1.751,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
2014-12-14T07:00:00Z,2014-12-14T08:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.580,3.775,1.759,,,,,0.003,,,,,,,,,,,,,,,,,,,,,
2014-12-14T08:00:00Z,2014-12-14T09:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.648,3.777,1.801,,,,,0.003,,,,,,,,,,,,,,,,,,,,,
2014-12-14T09:00:00Z,2014-12-14T10:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.725,3.780,1.842,,,,,0.003,,,,,,,,,,,,,,,,,,,,,
2014-12-14T10:00:00Z,2014-12-14T11:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.829,3.782,1.844,,,,,0.784,,,,,,,,,,,,,,,,,,,,,
2014-12-14T11:00:00Z,2014-12-14T12:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.928,3.785,1.885,,,,,0.887,,,,,,,,,,,,,,,,,,,,,
2014-12-14T12:00:00Z,2014-12-14T13:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.025,3.788,1.926,,,,,0.985,,,,,,,,,,,,,,,,,,,,,
2014-12-14T13:00:00Z,2014-12-14T14:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.102,4.792,1.928,,,,,1.590,,,,,,,,,,,,,,,,,,,,,
2014-12-14T14:00:00Z,2014-12-14T15:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.174,4.935,1.969,,,,,2.798,,,,,,,,,,,,,,,,,,,,,
2014-12-14T15:00:00Z,2014-12-14T16:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.246,4.937,2.010,,,,,3.169,,,,,,,,,,,,,,,,,,,,,
2014-12-14T16:00:00Z,2014-12-14T17:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.311,4.939,2.015,,,,,3.185,,,,,,,,,,,,,,,,,,,,,
2014-12-14T17:00:00Z,2014-12-14T18:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.379,4.942,2.053,,,,,3.205,,,,,,,,,,,,,,,,,,,,,
2014-12-14T18:00:00Z,2014-12-14T19:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.445,4.944,2.094,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-14T19:00:00Z,2014-12-14T20:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.511,4.947,2.107,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-14T20:00:00Z,2014-12-14T21:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.578,4.950,2.137,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-14T21:00:00Z,2014-12-14T22:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.646,4.952,2.179,,,,,3.212,,,,,,,,,,,,,,,,,,,,,DE_KN_residential3_washing_machine
2014-12-14T22:00:00Z,2014-12-14T23:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.687,4.955,2.197,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-14T23:00:00Z,2014-12-15T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.738,4.957,2.222,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,2014-12-15T01:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.807,4.960,2.263,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-15T01:00:00Z,2014-12-15T02:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.871,4.963,2.286,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-15T02:00:00Z,2014-12-15T03:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.941,4.965,2.307,,,,,3.212,,,,,,,,,,,,,,,,,,,,,
2014-12-15T03:00:00Z,2014-12-15T04:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.005,4.968,2.348,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T04:00:00Z,2014-12-15T05:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.075,4.970,2.376,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T05:00:00Z,2014-12-15T06:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.143,4.973,2.392,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T06:00:00Z,2014-12-15T07:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.209,4.975,2.432,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T07:00:00Z,2014-12-15T08:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.277,4.978,2.464,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T08:00:00Z,2014-12-15T09:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.343,4.981,2.475,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T09:00:00Z,2014-12-15T10:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.408,4.983,2.516,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T10:00:00Z,2014-12-15T11:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.474,4.986,2.553,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T11:00:00Z,2014-12-15T12:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.540,4.988,2.559,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T12:00:00Z,2014-12-15T13:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.606,4.991,2.600,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T13:00:00Z,2014-12-15T14:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.677,4.993,2.641,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T14:00:00Z,2014-12-15T15:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.752,6.105,2.643,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T15:00:00Z,2014-12-15T16:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.823,6.237,2.684,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T16:00:00Z,2014-12-15T17:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.888,6.240,2.725,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T17:00:00Z,2014-12-15T18:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.955,6.242,2.727,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T18:00:00Z,2014-12-15T19:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.022,6.245,2.768,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T19:00:00Z,2014-12-15T20:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.089,6.247,2.809,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T20:00:00Z,2014-12-15T21:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.156,6.250,2.815,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T21:00:00Z,2014-12-15T22:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.222,6.252,2.852,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T22:00:00Z,2014-12-15T23:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.264,6.254,2.894,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-15T23:00:00Z,2014-12-16T00:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.314,6.257,2.906,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-16T00:00:00Z,2014-12-16T01:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.384,6.260,2.937,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
2014-12-16T01:00:00Z,2014-12-16T02:00:00+0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.448,6.263,2.978,,,,,3.213,,,,,,,,,,,,,,,,,,,,,
