Country,Local EPC Name,Translation,Issuing Authority / Website,Energy Rating Scale,Primary Energy Calculation Method,Climate Zoning,EPC Type (Asset/Operational),Inputs Used in EPC,Software Tools Used,Standard Layout Format,Visual Labeling (e.g. A-G),Renovation Recommendations,Trigger Events,EPC Validity Period,Penalties for Non-Compliance,Public Database Availability,API or Digital Access,Integration with SRI or Building Passport,Market Penetration (%),Public Awareness / Trust,Assessor Certification Requirements,Smart Readiness Integration,Data Interoperability (e.g. ORBIT-ready)
Germany,Energieausweis,Energy Certificate,German Energy Agency (dena) – https://www.dena.de,A to G,EN/ISO and national DIN standards,Climate-adjusted by regions,Asset-based,"Envelope, HVAC, DHW, lighting","Government-approved tools (EnEV, GEG-compliant)",Two-part certificate: residential/non-residential,A–G with numeric energy value,Mandatory; part of certificate,"Sale, rent, new build",10 years,Fines; mandatory disclosure regulations,Federal EPC registry (by state),Partial via state portals,Pilots underway with digital renovation passports,Very high,High; widely trusted in real estate,Licensed engineers or architects with GEG training,Ongoing smart readiness pilots,"GEG-compliant registries, partially interoperable"
Greece,Πιστοποιητικό Ενεργειακής Απόδοσης (ΠΕΑ),Energy Performance Certificate,Ministry of Environment & Energy – https://www.ypen.gr,A+ to G,EN/ISO with Greek National KENAK methodology,Multiple Mediterranean zones,Asset-based,"Envelope, HVAC, DHW, lighting",KENAK-certified software tools,Standard national layout with color scale,A+–G with numeric energy and CO₂,Mandatory,"Sale, rent, major renovation",10 years,"Fines up to €10,000",TEE-KENAK national registry,Public portal with downloadable EPCs,Linked to EPBD roadmap,Medium-high,High in professional sectors,Certified by TEE with license,None currently,Structured national registry
Hungary,Energetikai tanúsítvány,Energy Certificate,Hungarian Chamber of Engineers – https://www.mmk.hu,AA++ to JJ,National EPBD methodology (Decree 176/2008),Single national zone,Asset-based,"Envelope, HVAC, DHW",MMK and accredited EPC software,National layout with numeric performance score,AA++ to JJ with energy figures,Mandatory,"New build, sale, rent",10 years (or post-renovation),Administrative fines,National e-registry (E-tanusitas),"Yes, via user login",No official link yet,High due to legal obligations,Moderate among public,Certified engineers via MMK/Chamber,Not implemented,Registry is structured but limited export
Ireland,Building Energy Rating (BER),Building Energy Rating,Sustainable Energy Authority of Ireland – https://www.seai.ie/ber,A to G,DEAP (based on ISO/EN standards),Single national zone,Asset-based,"Envelope, orientation, HVAC, renewables",DEAP software,BER Certificate + Advisory Report,A–G with kWh/m²/yr and CO₂,Mandatory,"Sale, rent, new build, major extension",10 years (2 years provisional),"Fines, enforced by SEAI",National BER Register (SEAI),Yes – publicly searchable,Future roadmap includes Renovation Passport,Very high,Very high public awareness,SEAI-certified assessors only,No current SRI implementation,"DEAP-structured data, registry interoperable"
Italy,Attestato di Prestazione Energetica (APE),Energy Performance Certificate,Ministry of Ecological Transition + Regions – https://www.mite.gov.it,A4 to G (A4 highest),National method aligned with EN/ISO and UNI standards,6 climate zones (A–F),Asset-based,"Envelope, HVAC, lighting, renewables","APE-certified regional tools (e.g. DOCET, CENED)",Standard national APE layout,A4–G with detailed numeric indicators,Mandatory,"New build, sale, rent, renovation",10 years,"Fines up to €18,000",Regional APE registries (e.g. Lombardia),Partial access by region,Pilots linked to Renovation Passports,High in northern Italy,High in regulated markets,Licensed professionals + regional exams,Planned under EPBD recast,Regional DBs partially interoperable
Latvia,Energoefektivitātes sertifikāts,Energy Efficiency Certificate,State Construction Control Bureau – https://bvkb.gov.lv,A to G,EN/ISO-based national calculation method,Single national zone,Asset-based,"Envelope, HVAC, DHW, lighting",National tool provided via BVKB,Standard form with numeric and advisory data,"A–G scale, with kWh/m²/year",Included and encouraged,"New build, sale, rent",10 years,Administrative fines for non-compliance,Public EPC registry via BVKB portal,Manual download via online service,None currently,Moderate,Moderate–low public visibility,Certified via accredited training,Not yet,"Registry in structured format, partially open"
Lithuania,Energijos vartojimo efektyvumo sertifikatas,Energy Consumption Efficiency Certificate,State Energy Efficiency Agency – https://seda.lt,A to G,CEN/ISO aligned with national factors,Single climate zone,Asset-based,"Envelope, heating, DHW, renewables",SEDA platform tool,Standard certificate format + digital version,A–G color-coded,Included and mandatory,"Sale, rent, new construction",10 years,Government fines enforced by SEDA,Public online EPC registry,Manual and semi-automated digital access,Planned in LTRS,Moderate,"Moderate among owners, high in industry",State-certified energy auditors,Not yet,"Registry exportable, used for national stats"
Luxembourg,Passeport énergétique,Energy Passport,MyEnergy / Ministry of Energy – https://myenergy.lu,A to G,EN/ISO methodology with national adaptation,Single zone,Asset-based,"Envelope, HVAC, lighting, renewables",Certified MyEnergy tools,Passeport énergétique layout,A–G with numeric values,Mandatory,"Sale, rent, renovation",10 years,Penalties via energy building code,National EPC registry linked to cadastre,Some downloadable fields,Planned,High,High in both commercial and residential sectors,Licensed experts via MyEnergy,Under discussion,Compatible with EU datasets
Malta,Certificate of Energy Performance,Energy Performance Certificate,Building & Construction Authority – https://bca.org.mt,A to G / A1 highest,"ISO/CEN aligned, adapted to Malta’s context",Single Mediterranean zone,Asset-based,"Envelope, HVAC, DHW, ventilation",Government EPC tool,Standard certificate format,A1 to G label,Mandatory,"Sale, rent, construction",10 years,Fines and compliance actions,Public registry available via BCA,Manual access only,Not yet integrated,Medium,Improving among professionals,Certified assessors via government licensing,Not implemented,Digital but not yet structured
Netherlands,Energielabel,Energy Label,RVO (Netherlands Enterprise Agency) – https://www.rvo.nl,A to G (residential); label classes for commercial,"EN/ISO-based, with national calculation method (NTA 8800)",National climate zone with weather adjustments,Asset-based,"Envelope, HVAC, ventilation, lighting","EP-online tools (e.g. Uniec 3, NTA tools)",Standard EPC format with label and technical details,"A–G, numeric energy performance indicator",Mandatory for all EPCs,"Sale, rent, construction, public buildings",10 years,"€405–€20,250 (depending on type)",Public EPC register (EP-online.nl),Yes – downloadable and API available,Connected to Building Passport pilots,Very high,Very high – used in real estate & audits,Certified EP advisors via ISSO scheme,Piloted in smart readiness assessments,Highly structured and API-accessible
Poland,Świadectwo charakterystyki energetycznej,Energy Performance Certificate,Ministry of Infrastructure – https://www.gov.pl,A+ to G+ (plus system),EN/ISO aligned; includes regional weather,9 regional climate zones,Asset-based,"Envelope, HVAC, lighting, renewables",Government EPC calculator tool,Świadectwo characterystyki energetycznej format,A+ to G+,"Mandatory, detailed section","Construction, sale, rent",10 years,Fines as per construction law,Public EPC register: https://rejestrcheb.mrit.gov.pl,Manual and CSV export available,No formal SRI integration,High in cities,Trusted in building/real estate sectors,Certified via ministry-approved training,Not yet,Partially structured and exportable
Portugal,Certificado Energético,Energy Certificate,ADENE – https://www.adene.pt,"A+ to F (residential), A+ to G (commercial)",CEN/ISO-based with primary energy factors,Single zone; national assumptions,Asset-based,"Envelope, heating, DHW, HVAC, lighting",ADENE SCE software,Standard residential/commercial forms with energy label and advisory,A+ to G/F with kWh/m²·yr,Mandatory section included,"Sale, rent, new build, major renovation",10 years (6–8 years for large buildings),"€250–€3,740 residential; up to €44,890 commercial",SCE registry (~1.5M certificates),CSV export available,Not yet implemented,High (≈1.5 million certificates),Moderate; concerns about accuracy,ADENE-accredited professionals,Not included,Structured dataset via registry
Romania,Certificat de performanță energetică,Energy Performance Certificate,Romanian Energy Auditors Association / ANRE – https://www.anre.ro,A+ to G,EN/ISO-aligned national methodology,Single national zone,Asset-based,"Envelope, HVAC, lighting, DHW",Government accredited tools,Standard EPC format,"A+ to G, kWh/m²/yr",Mandatory improvement suggestions,"Sale, rent, new build",10 years,Fines under Romanian energy laws,Public portal (not open data),"No public API, PDF download",Not yet included,Moderate-high (urban areas),"High among professionals, growing publicly",Certified by ANRE via training/accreditation,Planned in EPBD roadmap,Structured PDF output; no full digital schema
Slovakia,Energetický certifikát,Energy Certificate,Ministry of Transport & Construction,A+ to G,"National method, EN/ISO-based",Single national zone,Asset-based,"Envelope, HVAC, lighting, DHW",Gov-approved software,Standard certificate with recommendations,A+ to G,Included,"Sale, rent, new build, renovation",10 years,Fines per building and energy law,Public registry,None yet; manual export,Not yet,Moderate–high,Medium,Class A/B certified auditors,Not yet,Structured national database
Slovenia,Energetska izkaznica,Energy Certificate,Slovenian Energy Agency – https://www.agen-rs.si,A++ to G,EN/ISO-based national methodology,Single climatic zone,Asset-based,"Envelope, HVAC, lighting",National PEK tool,Standard certificate + advisory,A++ to G,Included,"Sale, rent, renovation, public buildings",10 years,Fines under Energy Law,National online registry,Partial download functionality,Planned under EPBD recast,Moderate,Medium-high,Licensed energy auditors,Not yet,EU-aligned structured registry
Spain,Certificado de eficiencia energética,Energy Efficiency Certificate,IDAE and regional governments – https://www.idae.es,A to G,"RD 235/2013, EN/ISO-based",Regional climate zones,Asset-based,"Envelope, HVAC, lighting, DHW systems",National and regional accredited tools,Standard certificate with recommendation section,A–G with CO₂/kWh data,"Yes, mandatory","Sale, rent, public buildings",10 years (G-rated = 5 years),"€300–€6,000",Regional registries,Varies; some CSV download,Planned by 2026,Medium-high,Growing; supports green premiums,Certified technicians via regional bodies,Not yet,Mixed – regions differ in data formats
Sweden,Energideklaration,Energy Declaration,"Swedish National Board of Housing, Building and Planning – https://www.boverket.se",Numeric score + letter equivalent (A–G),EN/ISO-based; includes delivered energy,National zone with weather adjustments,Asset-based; some measured data,"Envelope, systems, heating, DHW",Gov-certified tools,"Standard certificate with energy use, emissions, advice",Numeric and A–G equivalent,Included,"Sale, rent, retrofitting",10 years,Fines via inspectors,Energideklaration registry,API access available,Early national roadmap,High,High,Authorised energy auditors,Pilots underway,"Open, structured national registry"
