Delivery_Contractor,Property_ID,Postcode_1,Participant_Age,EmployStatus,EmployType,HouseIncome,Date_Contact,Tenure,Tenure_Length,Social_Group,HP_Awareness,Date_Survey,Name_Survey,House_Type,House_Form,House_Env,House_Age,House_SAP,No_Adults,No_Child,No_Storeys,Total_Floor_Area,Habitable_Rooms,Bedrooms,Heated_rooms,Floor_Height,Wall_Type,Floor_Type,Roof_Type,Glazed_Type,Mains_Gas_Flag,Main_Fuel,Heat_Primary_Source,Heat_Secondary_Source,TS_Existing,TS_Existing_Size,No_Underfloor,Existing_Fires,Existing_Cooking,Outside_Space,Outside_Access,Elec_currentuse,Gas_currentuse,MCS_SHLoad,MCS_Hloss,MCS_SHAnnual,MCS_DHWAnnual,MCS_Immersion,MCS_Flow_Temp,MCS_SCOP,Suit_ASHP,Suit_GSHP,Suit_HTASHP,Suit_Hybrid,HP_Recommend,Measures_Recommend,EstCost_System,EstCost_Ancillary,EstCost_Running,EstCost_Etariff,EstCost_Gtariff,Part_Install_Decision,Date_Installation,Name_Install,HP_Installed,HP_Installed_Detail,HP_Brand,HP_Model,HP_Size_kW,HP_Refrigerant,GSHP_Space,TS_Type,TS_Water_Size,TS_PCM_Size,HP_Control_Zones,Measures_emitters_LT,Measures_emitters_Std,Measures_Fanassist,HP_Aesthetic,HP_Noise,Cooling,Cooling_Rooms,Fires_replaced,Cook_Replaced,Gas_disconnect,Measures_Loft,Measures_Windows,Measures_Doors,Measures_WI,Measures_DP,Cost_HP,Cost_TS,Cost_Install,Cost_Emitters,Cost_Cooling,Cost_LI,Cost_WI,Cost_Window,Cost_Door,Cost_DP,Install_time_HP,Install_time_measures
E.ON,EOH1688,NE3,52.0,Working Full time (>30hrs),Professional,"40,001 - 50,000",2020-07-21T00:00:00.000Z,Owner-Occupied,2.0,AB,5.0,04/09/2020,Phoenix,House,Detached,Urban,1930 - 1949,D,3.0,0.0,2.0,87.0,4.0,3.0,4.0,2.4,Cavity_No_insulation,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,No,No,188.89591615679092,370.6340243096929,8.328999999999999,97.74,16696.0,4994.0,0.0,60.0,3.18,No,No,Yes,No,HT_ASHP,None Required,17750.63,0.004981823668941843,996.9999999999999,14.3,3.8000000000000003,Yes,13/09/2021,Phoenix,HT_ASHP,,Daikin,EPRA14DAV3,14.000000000000002,R32,4.1797728472792173e-13,PCM_New,127.17267945408821,9.0,1.0,11.0,0.0,0.0,,,No,0.0,0.0,0.0,No,No,0.0,0.0,,no,9047.38,3500.65,1610.2334707147147,3425.04,2.390631909012647e-14,0.0,0.0,0.0,0.0,0.0,3.0,8.950572919275146e-05
E.ON,EOH2608,NE3,41.0,Working Full time (>30hrs),Manager,"50,001+",2020-07-14T00:00:00.000Z,Owner-Occupied,2.9999999999999996,AB,2.0,11/08/2020,Phoenix,House,Detached,Suburban,1991 - 1995,D,2.0,2.0,2.0,106.0,7.0,5.0,13.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,0.0,Yes - Ground Loop,No,194.25758964038687,379.22628372511826,2.2578764044472046,7.688536691479385,1944.8959121640073,956.7505915346264,0.3073328658680112,40.01577056973474,2.9011645526951177,No,No,No,No,None - Installation not recommended,,9506.33274637251,0.0135717585192765,281.73973717737476,12.004212956437842,2.0443733053113102,,,,,,,,3.016833374160342,,3.092442317845223e-12,,131.9410815834999,7.001298388262512,1.0001317196074524,0.2510751038789749,0.0010925692331511527,0.00015269349387381226,,,,7.449212774401914e-11,4.3761396284480725e-08,5.248566594673321e-07,,,9.784979900992474e-13,7.37775636139304e-08,,,3230.829999452438,1019.7969787568785,1610.2392090791236,9.759258488577325,2.1143751625842672e-13,0.00042012097329916285,0.014640136214438826,1.0720592191759692e-09,1.2412928947913573e-05,5.5005648473549495e-12,1.053417757153511,0.00021462629229063168
E.ON,EOH1122,NE5,62.0,Working Full time (>30hrs),Clerical,Prefer not to say,2020-07-16T00:00:00.000Z,Owner-Occupied,4.0,C2,3.0,13/08/2020,Phoenix,House,Semi-Detached,Urban,1930 - 1949,D,2.0,0.0,2.0,92.0,5.0,3.0,10.000000000000002,2.45,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,1600.0,11000.0,8.257999999999997,89.76,19995.0,4002.0,181.0,40.010293159721186,2.900660556484945,Yes,No,No,Yes,None - Installation not recommended,None Required,13133.999999999998,0.0,1043.0,14.3,3.8000000000000003,,,,,,,,3.0108194247004576,,4.646945263482583e-13,,128.1320296227932,7.0007297383926925,1.0000632526598565,0.18301540985703468,0.0005330384719854919,8.508581959176809e-05,,,,1.368771328918994e-11,1.31602453379287e-08,1.9830804376397282e-07,,,1.458404794499324e-13,2.130999376959153e-08,,,3144.872629536027,1018.1241873582452,1610.2335473257933,6.1335122497973495,2.7406640393007504e-14,0.00016014882644071804,0.006681027571175946,2.363591822263089e-10,2.9814448231246795e-06,8.836334984031746e-13,1.035473417956382,0.00010091937247125315
E.ON,EOH0587,NE1,37.0,Working Full time (>30hrs),Professional,"50,001+",2020-07-22T00:00:00.000Z,Owner-Occupied,0.9,AB,5.0,21/10/2020,Phoenix,House,Semi-Detached,Unknown,1950 - 1966,D,2.0,2.0,2.0,124.0,5.0,4.0,5.000000000000001,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,193.18225995620014,376.457644018461,2.257729056086973,7.667930033989251,1941.1894417754374,956.5209946737159,0.2760593894581689,40.01396806037519,2.901082226494327,No,No,No,No,None - Installation not recommended,,9506.264851605076,0.011326223652531553,281.24426145697015,12.003787406480406,2.0438380160409726,,,,,,,,3.0152342363726348,,2.0761318011985885e-12,,129.39898446202278,7.001150117313955,1.0001146662907558,0.237538181245327,0.0009507104987278581,0.00013302087609190494,,,,5.2366787989255315e-11,3.2977752084661915e-08,4.201540662052139e-07,,,6.453047731586059e-13,5.7015885346345385e-08,,,3208.319591306448,1019.4270576380193,1610.2376016921694,9.489339230072218,1.3503843768018775e-13,0.0003197398494967274,0.01216808504977962,7.695331039059283e-10,9.357607312621142e-06,3.642967438127753e-12,1.049429314211011,0.00018078739958582446
E.ON,EOH0560,NE5,67.0,Working Full time (>30hrs),Casual worker,Prefer not to say,2020-08-06T00:00:00.000Z,Owner-Occupied,5.0,DE,3.0,03/12/2020,Phoenix,House,Semi-Detached,Urban,1950 - 1966,E,1.0,0.0,2.0,78.0,4.0,3.0,6.0,2.5,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,190.8121049842157,373.2677236950258,5.52,72.3,11066.4,4475.0,655.0,40.01122354224208,2.9008748666616153,Yes,No,Yes,Yes,ASHP,None Required,12602.95,0.0,780.0,14.3,3.8000000000000003,No,,,,,,,3.0130587628809735,,9.803623841550535e-13,,129.53583747148514,7.000981005010544,1.000085049578047,0.19841497763991356,0.0006841530448582489,9.971842519007623e-05,,,,2.640308804924274e-11,2.0278520196370664e-08,2.812328716572665e-07,,,2.904674656183104e-13,3.420905869688795e-08,,,3160.2710278891773,1018.8962253873981,1610.235027711062,7.062179498607293,6.051688555656909e-14,0.00022003210345701517,0.008371189323952422,4.171599732316622e-10,4.90161223110075e-06,1.8379306323396127e-12,1.0398416337557137,0.00012925874352731626
E.ON,EOH2700,NE3,67.0,Retired,Pensioner,"40,001 - 50,000",2021-05-17T00:00:00.000Z,Owner-Occupied,0.9,C1,5.0,30/06/2021,Energist,House,Detached,Urban,2012 onwards,D,2.0,0.0,1.0,162.99999999999997,5.0,3.0,11.0,2.4,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,,,,0.0,0.0,1.0,No,No,191.13162881499738,375.31259944615886,6.281,38.53,20671.0,3146.0,0.0,50.0,3.65,Yes,No,Yes,Yes,ASHP,None Required,14402.94,0.00762248695565404,1023.0,12.5,3.5,Yes,23/07/2021,Energist,HT_ASHP,,Vaillant,VWL 75/6 A 230V S2,7.000000000000001,R290,1.0743808186858272e-12,Water_new,200.0,7.001062281924533,1.0,9.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,,no,5648.0,1752.34,1610.2350621210796,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
E.ON,EOH1482,NE3,44.0,Working Full time (>30hrs),Professional,"50,001+",2020-10-22T00:00:00.000Z,Owner-Occupied,4.0,AB,5.0,02/11/2020,Phoenix,House,Semi-Detached,Urban,1930 - 1949,D,2.0,2.0,2.0,126.00000000000001,7.0,5.0,10.000000000000002,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,1.0,1.0,No,No,4177.0,18541.0,10.613,84.23,21264.999999999996,4457.0,0.0,40.0088043489086,2.9007210293179377,Yes,No,Yes,Yes with additional measures,Hybrid,loft Insulation,12081.59,500.0,996.0,14.3,3.8000000000000003,No,,,,,,,3.0105710864881985,,4.3147733649884223e-13,,126.98047235608101,7.000742427211662,1.0000597475536779,0.17672745510935783,0.0005005138245905982,7.106025441316888e-05,,,,1.2051450115624363e-11,1.220226852893802e-08,1.851029196586751e-07,,,1.2509254970847344e-13,2.1205952549507856e-08,,,3135.384973513223,1018.2118337475508,1610.233447757394,5.759574661570951,2.4647315370845795e-14,0.00012943017703378245,0.006014663995301817,2.3232225865310596e-10,2.6085647215290387e-06,7.980831707304903e-13,1.0343777621164918,9.334312699138536e-05
E.ON,EOH1365,NE13,38.0,Working Full time (>30hrs),Professional,"50,001+",2020-08-12T00:00:00.000Z,Owner-Occupied,2.9999999999999996,AB,5.0,25/09/2020,E.ON,House,Detached,Suburban,1967 - 1975,D,2.0,0.0,2.0,80.0,4.0,3.0,4.0,2.3,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Standard,Electric - Direct,Water,117,0.0,1.0,0.0,Yes - Ground Loop,Yes,2762.3,10781.0,7.679999999999998,98.96,18579.999999999996,3820.0,0.0,45.0,3.77,Yes,No,Yes,Yes,ASHP,None Required,11628.15,0.009159916961721137,1111.0,14.3,3.8000000000000003,Yes,07/05/2021,Energist,HT_ASHP,,Vaillant,VWL 55/6 A 230V S2,5.0,R290,1.6188650897239198e-12,Water_new,200.0,7.0012014692038065,1.0,5.0,0.0,0.0,none,none,No,0.0,0.0,0.0,No,No,0.0,0.0,,no,6523.74,1752.0,1610.2362391682227,2315.87,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
E.ON,EOH1301,NE7,60.0,Working Full time (>30hrs),Professional,"25,001 - 30,000",2020-10-07T00:00:00.000Z,Owner-Occupied,10.0,C1,4.0,20/10/2020,Phoenix,House,Semi-Detached,Urban,1950 - 1966,D,2.0,0.0,2.0,120.0,5.0,3.0,11.0,2.4,Cavity_Insulated,Suspended,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,1.0,1.0,No,No,192.27199725736864,376.4147872159956,2.257653376957911,7.620890664868057,1937.971476392937,956.4450622157601,0.2401027298252302,40.01300552248722,2.9009604130499063,No,No,No,No,None - Installation not recommended,,9506.227152581328,0.010086203132516403,281.1685723286867,12.003569007311016,2.0435975711775245,,,,,,,,3.0142820146866143,,1.5209222770096176e-12,,128.4960813820362,7.001056877459632,1.0000998287669063,0.2188977599143982,0.0008325186499860138,0.00012073262041667476,,,,3.964911732268206e-11,2.715942493125567e-08,3.7069844438519794e-07,,,4.827912700698656e-13,4.9193811690884104e-08,,,3203.3588272385114,1019.2929421980958,1610.2367012198051,8.621741019464098,9.773577753320259e-14,0.00028153913671758346,0.01098092343454482,6.127803819921951e-10,7.814637359415677e-06,2.7466377696544475e-12,1.0467797247692943,0.0001556895895191701
E.ON,EOH2477,NE3,43.0,Working Full time (>30hrs),Professional,Prefer not to say,2020-08-10T00:00:00.000Z,Owner-Occupied,5.999999999999999,AB,3.0,26/08/2020,Phoenix,House,Detached,Unknown,1983 - 1990,C,2.0,2.0,2.0,167.0,8.0,4.0,8.0,2.3,Cavity_Insulated,Solid,Pitched,Double,Yes,Gas,Gas Boiler - Combi,Fire - Gas,,,0.0,0.0,1.0,No,No,192.6663552314858,376.08485181163996,2.2577473237823686,7.594604790210724,1938.5968901329907,956.4219918360322,0.24650227925558285,40.01393301790813,2.9010587303712962,No,No,No,No,None - Installation not recommended,,9506.24151024025,0.0100583660147322,281.20566744834184,12.003632095686626,2.0439293172623727,,,,,,,,3.01523678493686,,1.7604417272901185e-12,,131.3960611820221,7.001091717189411,1.0001019533101498,0.21847888827323914,0.0009068075087270699,0.00012769598106388003,,,,4.4924560599346464e-11,3.06059604326947e-08,3.896221301147307e-07,,,5.23654307849758e-13,5.333108177296708e-08,,,3218.7080019322225,1019.2207912552728,1610.2367069286477,8.343932160959811,1.1385831784772177e-13,0.00029867624464714027,0.011389191058697179,6.648686601273823e-10,7.905668195484773e-06,3.1082489013178893e-12,1.0458159893751144,0.00017412395663995994
